Campus Name,Campus,Campus Type,Campus Type Description
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,108913118,21,Suburb: Large
3D ACADEMY,108902006,21,Suburb: Large
A & M CONS H S,21901001,12,City: Midsize
A & M CONSOLIDATED MIDDLE,21901042,12,City: Midsize
A B DUNCAN EL,77901101,41,Rural: Fringe
A B MCBAY EL,147903103,33,Town: Remote
A C BLUNT MIDDLE,205901041,31,Town: Fringe
A C JONES H S,13901001,32,Town: Distant
A C JONES HEALTH PROFESSIONS MAGNET ACADEMY,13901004,32,Town: Distant
A E BUTLER INT,116908101,41,Rural: Fringe
A G ELDER EL,126905103,21,Suburb: Large
A LEAL JR MIDDLE,15904042,11,City: Large
A M OCHOA EL,108902104,21,Suburb: Large
A M PATE EL,220905153,11,City: Large
A N RICO EL,108913113,21,Suburb: Large
A P BEUTEL EL,20905102,23,Suburb: Small
A P SOLIS MIDDLE,108902045,21,Suburb: Large
A V CATO EL,220917101,11,City: Large
A+ ACADEMY EL,57829001,11,City: Large
A+ SECONDARY SCHOOL,57829002,11,City: Large
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,101871041,11,City: Large
A+ UNLIMITED POTENTIAL - UNIVERSITY,101871102,11,City: Large
AARON PARKER EL,139911102,42,Rural: Distant
AB HARRISON INT,43914042,21,Suburb: Large
ABBETT EL,57909143,21,Suburb: Large
ABBOTT SCHOOL,109901001,42,Rural: Distant
ABELL J H,165901047,12,City: Midsize
ABERNATHY DAEP,95901003,33,Town: Remote
ABERNATHY EL,95901101,31,Town: Fringe
ABERNATHY H S,95901001,31,Town: Fringe
ABERNATHY MIDDLE,95901041,31,Town: Fringe
ABILENE H S,221901001,12,City: Midsize
ABOUT FACE PROGRAM EL,71902171,11,City: Large
ABRAHAM KAZEN MIDDLE,15908046,11,City: Large
ACADEMY AT CARRIE F THOMAS,220902116,21,Suburb: Large
ACADEMY AT NOLA DUNN,126902101,21,Suburb: Large
ACADEMY EL,14901102,41,Rural: Fringe
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,221901010,12,City: Midsize
ACADEMY H S,14901001,41,Rural: Fringe
ACADEMY INT,14901101,41,Rural: Fringe
ACADEMY J H,14901041,41,Rural: Fringe
ACADEMY OF ACCELERATED LEARNING,101810002,11,City: Large
ACADEMY OF CHOICE,101920016,21,Suburb: Large
ACADEMY OF CREATIVE ED,15910008,11,City: Large
ACADEMY OF DALLAS,57810101,11,City: Large
ACCELERATED INTERDISCIPLINARY ACAD,101849101,11,City: Large
ACHIEVE ACADEMY,43914004,21,Suburb: Large
ACHIEVE EARLY COLLEGE H S,108906011,12,City: Midsize
ACHZIGER EL,57914132,41,Rural: Fringe
ACTON EL,111901102,32,Town: Distant
ACTON MIDDLE,111901042,41,Rural: Fringe
AD WHEAT MIDDLE,126903107,41,Rural: Fringe
ADA MAE FAUBION EL,246913102,21,Suburb: Large
ADAM EL,101907107,21,Suburb: Large
ADAMS EL,220901161,11,City: Large
ADAMS EL,126903101,41,Rural: Fringe
ADAMS HILL EL,15915123,11,City: Large
ADAMS J H,101914056,41,Rural: Fringe
ADAMS MIDDLE,125901043,32,Town: Distant
ADELFA BOTELLO CALLEJO EL,57905247,11,City: Large
